[ 2017-06-20T16:29:47+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:29:47+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000122s ]
[ 2017-06-20T16:29:47+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000148s ]
[ 2017-06-20T16:29:47+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | NOTIC: [8] Undefined index: c IndexAction.class.php 第 10 行.
[ 2017-06-20T16:29:48+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:29:48+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000286s ]
[ 2017-06-20T16:29:48+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000378s ]
[ 2017-06-20T16:29:48+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | NOTIC: [8] Undefined index: c IndexAction.class.php 第 10 行.
[ 2017-06-20T16:29:54+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei&c=aaaa | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:29:54+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei&c=aaaa | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000118s ]
[ 2017-06-20T16:29:54+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei&c=aaaa | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000144s ]
[ 2017-06-20T16:51:55+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:51:55+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000127s ]
[ 2017-06-20T16:51:55+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000151s ]
[ 2017-06-20T16:58:52+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:58:52+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000721s ]
[ 2017-06-20T16:58:52+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000768s ]
[ 2017-06-20T16:58:52+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:58:52+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:58:52+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000304s ]
[ 2017-06-20T16:58:52+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000321s ]
[ 2017-06-20T16:58:52+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined index: c IndexAction.class.php 第 10 行.
[ 2017-06-20T16:58:59+08:00 ] /mb_oa/index.php | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:58:59+08:00 ] /mb_oa/index.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000121s ]
[ 2017-06-20T16:58:59+08:00 ] /mb_oa/index.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000145s ]
[ 2017-06-20T16:59:00+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:59:00+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000116s ]
[ 2017-06-20T16:59:00+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000142s ]
[ 2017-06-20T16:59:00+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | NOTIC: [8] Undefined index: c IndexAction.class.php 第 10 行.
[ 2017-06-20T16:59:04+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:59:04+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000129s ]
[ 2017-06-20T16:59:04+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000160s ]
[ 2017-06-20T16:59:04+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | NOTIC: [8] Undefined index: c IndexAction.class.php 第 10 行.
[ 2017-06-20T17:00:53+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T17:00:53+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000307s ]
[ 2017-06-20T17:00:53+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000337s ]
[ 2017-06-20T17:00:53+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | NOTIC: [8] Undefined variable: Think registerAction.class.php 第 8 行.
[ 2017-06-20T17:00:53+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | NOTIC: [8] Trying to get property of non-object registerAction.class.php 第 8 行.
[ 2017-06-20T17:02:30+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T17:02:30+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000135s ]
[ 2017-06-20T17:02:30+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000164s ]
[ 2017-06-20T17:10:53+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T17:10:53+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000340s ]
[ 2017-06-20T17:10:53+08:00 ] /mb_oa/index.php?m=register&a=sendMessage | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000375s ]
